Cells,BACH2(+),BCL6(+),EGR1(+),FOSB(+),FOXO1(+),FOXP1(+),IKZF1(+),IRF4(+),IRF8(+),JUN(+),JUNB(+),MYC(+),PAX5(+),PRDM1(+),RUNX3(+),STAT1(+),STAT3(+),STAT4(+),STAT5A(+),TBX21(+)
553006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
559081,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
566592,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
566851,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
569871,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1
571481,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
573464,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
578320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
578822,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0
579021,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0
579456,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
581769,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
582167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
587496,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
588053,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0
588497,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0
593508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
594552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
597374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
599201,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
604623,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
608955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
610732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
611186,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
