TF,target,importance
PAX5,EBF1,3.952872261920622
FOSB,TIGIT,3.9491972237741297
STAT5A,MCM2,3.946692056678773
FOSB,GNAI2,3.9421829202084977
FOSB,LAP3,3.939348244933031
IRF8,CD24,3.9363328365084578
FOSB,SELPLG,3.933948041215419
RUNX3,ICAM1,3.930263300864914
BCL11B,PIK3IP1,3.928445395685937
JUNB,EBF1,3.921886200293159
RUNX3,EBF1,3.92005620735184
BAX,KCNE3,3.9176262795095984
STAT5A,CD34,3.9104861161309756
BAX,ITGAE,3.9068606412847773
POU2AF1,IGHM-secreted,3.8911278784015515
TCF4,IRF4,3.8903808699723186
LEF1,CXCL2,3.889939254904593
PRDM1,FCER1A,3.884808463027784
BAX,KIAA0101,3.884753590568892
STAT5A,LAT2,3.8823748306496366
STAT5A,LGALS9,3.879754610645149
BCL11B,PTPRC,3.8785022828642113
FOXP1,IL4R,3.878432674738752
TCF4,MZB1,3.8703940531881016
RUNX3,CCL3,3.8654355900907706
LEF1,BIRC3,3.8594836221440465
IRF8,GZMH,3.855183284050306
MYC,LEF1,3.848866209634302
FOSB,IL18R1,3.848845911022668
EGR1,CXCL2,3.8430154438589743
FOSB,PSEN1,3.8292188828373575
JUNB,FOXP3,3.8249904039963876
PAX5,IL6,3.819247072146335
XBP1,IL3RA,3.817314277720297
PRDM1,CXCL2,3.8142025228343384
PRDM1,GAB2,3.8011840022925285
JUNB,TNFSF8,3.787522045554729
FOSB,GZMK,3.7819685113765646
BCL11B,CTLA4,3.7809601620965383
RUNX3,TNFSF14,3.7758554189744458
FOSL1,FAM129C,3.7723073279299246
FOSB,IL32,3.771694079996684
IRF8,ALAS2,3.767827377822469
FOXP1,IL7R,3.7671392527530934
IRF8,CLEC10A,3.7670396650553313
RUNX3,DUSP4,3.7642744869958142
JUNB,THBD,3.7572405745781734
BCL11B,TRAT1,3.7555091869641304
RUNX3,DUSP1,3.754650860891072
RUNX3,NINJ2,3.743283851678349
IRF8,IL18R1,3.739973172500589
BCL11B,CD6,3.737399203185222
IRF8,IL15,3.7360539134801014
IRF8,FOSB,3.726041499325771
FOSB,FAS,3.725561174241711
POU2AF1,TCL1A,3.716674493747026
FOSB,CD300A,3.708716754806081
FOSB,KLRC3,3.694807359389907
BAX,TNFSF10,3.6870258767114277
JUNB,BAX,3.667085245346851
RUNX3,LIPA,3.6495470753157475
BCL11B,IGBP1,3.644822942461243
EGR1,CD33,3.642586534621644
XBP1,CD300A,3.641964345673971
FOSB,CBLB,3.64192573575145
JUNB,CD37,3.638245730807912
RUNX3,CCND2,3.632466151859692
MYC,CSF2,3.623484223751057
FOSB,TNFSF8,3.6188738984509183
FOXP1,CBLB,3.5788945042277467
JUN,GIMAP2,3.5780545877193406
FOSB,RPN2,3.5769341136118307
IRF8,IGHM-membrane,3.5714175130448274
RUNX3,CD63,3.5682881562141056
LEF1,S100A12,3.5640406444215706
TBX21,TRDC,3.5607885635044703
JUN,GAPDH,3.5579639804050913
JUNB,MYC,3.5540111848211398
JUN,IFNG,3.5476599188268163
RUNX3,CD244,3.5338550775139796
POU2AF1,CD74,3.529875125010867
RUNX3,PSEN1,3.5212449445483394
IRF8,IGKC,3.5140047065492683
FOSB,CPA3,3.513387584226309
IKZF2,CHI3L2,3.496282986012727
MYC,BAX,3.4928433465596362
JUNB,BIRC3,3.490396421651245
IRF8,IGHD-membrane,3.486857829437785
EGR1,CXCL1,3.4837062908639664
JUNB,CD48,3.483211737549332
XBP1,MGST1,3.4694066789252753
IRF8,SNCA,3.467004374102046
BCL11B,IL23R,3.459568206650151
FOSB,CD74,3.4585979116769776
BAX,CD52,3.449109917510293
RUNX3,FUT4,3.4468440897697237
BCL11B,FOXP1,3.4454008971453796
RUNX3,PDIA4,3.4362446514846097
IRF8,IFNG,3.4360099113039304
FOSL1,GAB2,3.4285240908135797
RUNX3,THBD,3.4203746143866245
FOSB,BIN2,3.4118928883094477
POU2AF1,EGR3,3.4098745525507232
BAX,XBP1,3.4080798734990836
BCL11B,STAT3,3.4017908850524483
LEF1,CD9,3.397873543250899
BCL11B,LCK,3.375806826070667
FOSB,TNF,3.373905596618455
STAT4,CD244,3.3725039864534354
FOSB,PDIA6,3.370532073499744
BCL11B,TXK,3.370019680517063
MYC,CD69,3.367728611401345
PRDM1,NAMPT,3.3657381249225997
BAX,MYC,3.361603435156509
EGR1,S100A12,3.361553386438753
FOSB,IL4R,3.3614699915491
IRF8,HLA-DPA1,3.3462194865988324
JUN,STAT4,3.3361796947075737
BCL11B,ICOS,3.334621114082875
IRF4,GZMB,3.3312372634739176
PRDM1,CXCR2,3.3195463473653515
MYC,LTA,3.316866183987511
RUNX3,RORA,3.311196526957767
JUNB,STAT6,3.3090015596800817
LEF1,ZAP70,3.306809535156114
FOSB,CD4,3.3067720573230344
IRF4,CD27,3.3047656675408854
RUNX3,BCL6,3.304347442934137
FOSB,PTTG2,3.2915121017651843
LEF1,ARG1,3.288610557547325
MYC,STAT5A,3.2876570620166268
RUNX3,IRF8,3.2874991413977357
XBP1,AURKB,3.285807072662717
LEF1,DOCK8,3.2711026072489573
LEF1,CXCL8,3.267812594928158
JUNB,TSPAN32,3.2666604308900595
RUNX3,IL4R,3.2664795528004626
LEF1,STAT5A,3.262736878292364
IRF8,LGALS1,3.2588744898076407
JUN,CD3D,3.241891048478908
JUNB,ITGA4,3.2418392856546854
FOSB,CD86,3.229040663884038
STAT4,HAVCR2,3.226637408925966
MYC,TNFRSF25,3.217061752397184
FOSB,LCK,3.2165140174462747
ZBTB16,LAT2,3.2058631420117223
JUN,IL23R,3.2018479008857863
IRF8,IGHG1-secreted,3.199161184917205
STAT4,NCR3,3.1979970167241643
